Kategori,Berkas,Keyakinan (%),Prediksi MobileNetV2,Prediksi EfficientNet-B0,Ditolak
objek_mati,lukisan4.jpg,30.64,chihuahua,golden_retriever,Ya
objek_mati,lukisan5.jpg,43.52,chihuahua,golden_retriever,Ya
objek_mati,pemandangan1.jpg,46.13,pug,cocker_spaniel,Ya
objek_mati,pemandangan2.jpg,44.34,pug,chihuahua,Ya
objek_mati,pemandangan3.jpg,39.1,pug,chihuahua,Ya
objek_mati,pemandangan4.jpg,48.41,pug,chihuahua,Ya
objek_mati,pemandangan5.jpg,38.1,pug,malamute,Ya
patung_boneka,boneka1.jpg,67.18,cocker_spaniel,cocker_spaniel,Tidak
patung_boneka,boneka2.jpg,26.5,pug,golden_retriever,Ya
patung_boneka,boneka3.jpg,72.13,french_bulldog,french_bulldog,Tidak
patung_boneka,boneka4.jpg,52.54,french_bulldog,golden_retriever,Tidak
patung_boneka,boneka5.jpg,61.56,french_bulldog,chihuahua,Tidak
patung_boneka,boneka6.jpg,95.62,samoyed,samoyed,Tidak
patung_boneka,boneka7.jpg,61.46,golden_retriever,cocker_spaniel,Tidak
patung_boneka,patung1.jpg,78.95,labrador_retriever,labrador_retriever,Tidak
patung_boneka,patung2.jpg,97.97,pug,pug,Tidak
patung_boneka,patung3.jpg,81.54,chihuahua,german_shepherd,Tidak
patung_boneka,patung4.jpg,97.9,beagle,beagle,Tidak
patung_boneka,patung5.jpg,78.45,chihuahua,chihuahua,Tidak
patung_boneka,patung6.jpg,99.16,chihuahua,chihuahua,Tidak
patung_boneka,patung7.jpg,99.39,golden_retriever,golden_retriever,Tidak
patung_boneka,patung8.jpg,83.51,chihuahua,german_shepherd,Tidak
ras_luar,dalmatian1.jpg,52.17,labrador_retriever,doberman,Tidak
ras_luar,dalmatian10.jpg,75.06,labrador_retriever,labrador_retriever,Tidak
ras_luar,dalmatian11.jpg,74.97,labrador_retriever,labrador_retriever,Tidak
ras_luar,dalmatian12.jpg,71.38,labrador_retriever,labrador_retriever,Tidak
ras_luar,dalmatian13.jpg,45.94,labrador_retriever,doberman,Ya
ras_luar,dalmatian14.jpg,57.13,cocker_spaniel,labrador_retriever,Tidak
ras_luar,dalmatian15.jpg,62.84,labrador_retriever,labrador_retriever,Tidak
ras_luar,dalmatian2.jpg,51.1,boxer,boxer,Tidak
ras_luar,dalmatian3.jpg,51.09,boxer,doberman,Tidak
ras_luar,dalmatian4.jpg,48.92,labrador_retriever,labrador_retriever,Ya
ras_luar,dalmatian5.jpg,43.35,labrador_retriever,boxer,Ya
ras_luar,dalmatian6.jpg,82.92,labrador_retriever,labrador_retriever,Tidak
ras_luar,dalmatian7.jpg,43.97,labrador_retriever,doberman,Ya
ras_luar,dalmatian8.jpg,42.88,labrador_retriever,labrador_retriever,Ya
ras_luar,dalmatian9.jpg,63.35,pug,doberman,Tidak
serigala,serigala1.jpg,70.59,siberian_husky,malamute,Tidak
serigala,serigala10.jpg,60.62,german_shepherd,siberian_husky,Tidak
serigala,serigala11.jpg,56.55,german_shepherd,german_shepherd,Tidak
serigala,serigala12.jpg,63.37,siberian_husky,german_shepherd,Tidak
serigala,serigala13.jpg,56.75,german_shepherd,siberian_husky,Tidak
serigala,serigala14.jpg,50.19,german_shepherd,german_shepherd,Tidak
serigala,serigala15.jpg,96.95,samoyed,samoyed,Tidak
serigala,serigala2.jpg,61.07,malamute,malamute,Tidak
serigala,serigala3.jpg,79.89,german_shepherd,german_shepherd,Tidak
serigala,serigala4.jpg,75.48,samoyed,siberian_husky,Tidak
serigala,serigala5.jpg,82.95,siberian_husky,siberian_husky,Tidak
serigala,serigala6.jpg,59.63,siberian_husky,malamute,Tidak
serigala,serigala7.jpg,78.35,siberian_husky,siberian_husky,Tidak
serigala,serigala8.jpg,75.39,samoyed,samoyed,Tidak
serigala,serigala9.jpg,67.16,malamute,malamute,Tidak
